lambda_tv,lambda_color,PSNR,SSIM,UCIQE_Inp,UCIQE_Pred,UIQM_Inp,UIQM_Pred
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.5,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A
0.1,0.0,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
